id,fiscalyear,Climate change,Climate adaptation,Climate mitigation,text,pred
P161562,2018,1.0,0.93,0.07,"Disaster Risk Management Development Policy Credit with a Catastrophe Deferred Drawdown Option (Cat DDO) The overall PDO is to strengthen the Government of Kenya’s institutional, technical, and financial capacities to manage the impact of climate and disaster risks. The Disaster Risk Management (DRM) Development Policy Financing with a Catastrophe Deferred Drawdown Option (DPF with Cat DDO), in the amount of Euro 165.4 million (US$200 million equivalent), will support the Government of Kenya’s (GoK) reform program to improve the country’s capacity to reduce disaster risks and improve management of the socioeconomic and fiscal impacts of disasters. The GoK has initiated a shift toward a more proactive approach to managing disaster and climate risks. This has involved taking systematic steps to develop a comprehensive approach to overall risk management, including addressing impacts of climate change (CC), to build programs and strategies that strengthen national response, and put in place contingency financing that will serve to improve post-disaster liquidity needed to meet emergency and recovery needs. Under the devolved governance structure that was established by the Constitution of Kenya 2010, the country’s forty-seven county governments play a key role in DRM1. The Constitution integrates key provisions on DRM including national level support to counties which are required to develop their respective DRM policies and programs in line with the National DRM Policy. Extreme climatic events have long posed a significant risk to Kenya, and contributed to increasing levels of vulnerability of the poor, smallholder farmers and pastoralists, whose livelihoods are threatened by increased variability of rainfall patterns, triggering episodes of acute food insecurity. Kenya is at an early stage of urbanization, but by 2050 about half of the population will be living in cities. Around 27 percent of Kenyans live in urban areas, and the country is urbanizing at about 4.3 percent a year. The urbanization process has been accompanied by increasing levels of urban poverty (60 percent of Kenya’s urban households live in slums), growth of informal settlements, poorly functioning land markets and institutions, and an incomplete legal and building regulatory framework. Historical factors underpinning land ownership have led to urban land market distortions and, today, these markets are having difficulty supporting sustainable urbanization. In addition, there is low technical capacity to enforce and to build resilient infrastructure, making the country and its population particularly vulnerable. Evidence of this is the proliferation of substandard buildings with poor services and insufficient infrastructure, with the collapse of more than 26 buildings in the last 20 years. Equally important is the exposure of urban areas to moderate seismic risk, due to the East African Rift running through west Kenya and fault lines that are present south of Mombasa.",0.26869833
P174546,2021,0.81,0.53,0.28,"Emergency Locust Response Project To respond to the threat posed by the locust, protect and restore livelihoods and food security, and strengthen systems for preparedness. The development objective of the Emergency Locust Response Project (ELRP) for Eastern Africa is to respond to the threat posed by the locust outbreak and to strengthen systems for preparedness. The project comprises of five components. The first component, surveillance and control measures will strengthen the capacity of agriculture staff at the national, state, and county levels and of communities in locust-affected areas by providing appropriate equipment, technology, and training on locust identification, swarm management techniques, and damage assessment. It consists of following sub-components: (i) swarm surveillance and monitoring; and (ii) swarm management measures. The second component, livelihoods protection and rehabilitation focus on helping households and communities affected by the locust upsurge. It consists of following sub-components: (i) safeguarding food security and protecting human capital; and (ii) food production and building the natural resource base for crops and livestock. The third component, strengthening national preparedness systems will support investments in the research and informational, institutional, and strategic elements of desert locust (DL) management by the Government of the Republic of South Sudan (GRSS’) and its strategic partners. The fourth component, project management, monitoring, and communication will finance the cost of the project coordination unit (PCU) and its functions, including, inter alia, core human resources to manage the project; incremental costs for Ministry of Agriculture and Food Security (MAFS) staff to provide technical assistance and oversight of project activities; equipment for project management, including handsets for digital tools for monitoring and evaluation; and communication costs for implementation support. The fifth component, improving regional coordination through Intergovernmental Authority on Development (IGAD) information platform reflects the lesson learned from implementing Phase 1 of the ELRP, which revealed the need for improved communication and collaboration across national and regional boundaries.",0.104166076
P179039,2023,0.28,0.24,0.05,"Karnataka Sustainable Rural Water Supply Program To increase access to safely managed drinking water and strengthen institutions for sustainable rural water service delivery in Karnataka. The development objective of the Karnataka Sustainable Rural Water Supply Program for India is to increase access to safely managed drinking water and strengthen institutions for sustainable rural water service delivery in Karnataka. The program will comprise three results area (RA): RA 1: increase access to safely managed rural water supply; RA 2: strengthen institutions, policies, and finance to improved sustainability of water services; and RA 3: improve water source sustainability and energy efficiency to enhance climate resilience.",0.06827335
P162929,2019,0.34,0.17,0.17,"Medium-Size Cities Integrated Urban Development Project The proposed PDO is to support the Borrower to: (1) improve access to selected urban infrastructure (including public spaces) and services in Participating Cities; and (2) to strengthen the institutional capacity of the Borrower’s relevant agencies to deliver and manage local infrastructure. The development objective of the Medium-Size Cities Integrated Urban Development Project for Uzbekistan are to support the Borrower to: (a) improve selected urban infrastructure, public spaces and assets, and access to services in Participating Cities; and (b) strengthen the institutional capacity of the Borrower’s relevant agencies to deliver and manage local infrastructure.It has three components. First component, improvement of urban services and enhancement of public urban spaces will finance a targeted bundle of integrated and multi-sectoral investments to contribute to the enhancement of selected public urban spaces in project cities and improve livability; Second component, institutional strengthening and capacity building will consist of activities targeting project cities and local government agencies, tailored to their specific needs, including without being limited to: (i) asset management systems and management of integrated urban mobility; (ii) sustainable tourism development; and (iii) cooperation with the private sector. It has two subcomponents: (i) institutional strengthening and capacity building of participating cities and (ii) support to the national medium-size cities program (NMSCP); Third component, implementation support will support project implementation, including implementation of the project monitoring and evaluation system, communication strategy, application of safeguard instruments as well as training and financing of incremental operating costs of the Project Implementing Unit.",-0.14729433
P152064,2017,0.0,0.0,0.0,"Albania Financial Sector DPL Project Development ObjectiveThe program development objective is to strengthen the resiliency of the banking sector, and regulation and supervision of nonbanks.Board Schedule Comments The development objective of Financial Sector Development Policy Loan (DPL) Project for Albania is to strengthen the resiliency of the banking sector and the regulation and supervision of nonbank financial institutions. The DPL is structured around three pillars: (a) adopting policy measures to reduce nonperforming loans (NPLs) and enhance the financial safety net, (b) strengthening regulation, supervision, and resolution regime of banks and Savings and Credit Associations (SCAs), and (c) strengthening the regulation and supervision of investment funds. This operation  directly contributes to the Country Partnership Framework (CPF) 2015-2019 Focus Area  1 objective to improve financial stability. The first focus area includes three CPF objectives that aim to support Albania’s efforts to improve fiscal sustainability, strengthen public investment management, and improve financial stability. The World Bank has been providing substantial support to Albania in recent years, through several development policy operations and the objective of this operation is to enhance Albania’s competitiveness through improving the investment regime, facilitating trade, and making it easier to do business.",-0.46798855
P150937,2017,0.77,0.0,0.77,"Dar es Salaam Urban Transport Improvement Project The Project Development Objective (PDO) is to improve transport mobility, accessibility, safety, and quality of transport service delivery along the selected corridors in Dar es Salaam. The development objective of Dar Es Salaam Urban Transport Improvement Project for Tanzania is to improve transport mobility, accessibility, safety, and quality of transport service delivery along the selected corridors in Dar es Salaam. This project has three components. 1) The first component is Establishment of the Third and Fourth Phases of the Dar es Salaam Bus Rapid Transit (BRT) System, has the following subcomponents: (a) Establishment of BRT Phase 3 Infrastructure; (b) Establishment of BRT Phase 4 Infrastructure; (c) Preparation for Operation of the BRT System; (d) Upgrading of the Fare Collection System and Improving Traffic Management along the BRT Corridors; and (e) Implementation Support for Integrated Transit-Oriented Development along the BRT Corridors. 2) The second component, Improvement of the Ubungo Intersection and Complementary Road Safety Infrastructure for the BRT Phase 1 System has the following subcomponents: (a) Upgrading the Safety of the Ubungo Intersection and Integration of the BRT Corridor with Ubungo Up-country Bus Terminal; and (b) Road Safety Strengthening along the BRT Corridor and Kimara-Mbezi Feeder Section. 3) The third component, Institutional Strengthening and Reform, Information and Communication Technology (ICT) Innovation, Safety Net, and Transport Studies has the following subcomponents: (a) Capacity Strengthening of Implementing Agencies; (b) Support to Restructuring of Dar Rapid Transit Agency (DART) and Establishment of Dar es Salaam Urban Transport Authority (DUTA); (c) Support to Road Safety Agencies; (d) Piloting of Safety Nets and Impact Evaluation; (e) ICT Innovation and Open Data Pilot in the Public Transport System; (f) Improving Oversight Capacity of the MoWTC; and (g) Transport Studies and BRT Communication Programs.",-0.107098885
P173749,2021,0.33,0.22,0.1,"Benin Electricity Access Scale-up (BEAS) Project The PDO is to increase access to electricity services for households, enterprises, and public facilities. The development objective of the Electricity Access Scale-up Project for Benin is to increase access to electricity services for households, enterprises, and public facilities. The project comprises of three components. The first component, on-grid electrification t will finance the design, construction, rehabilitation, and extension of the distribution line network required to electrify all participating households and businesses in the project target areas with higher population density, located within about 7 km from the existing electricity networks (in urban, peri-urban, and rural areas). The second component, policy, and regulatory actions to implement the national electrification strategy (NES) and related investment programs will support the implementation of key reforms necessary for the sustainability of electrification strategy and related investment programs. The third component, technical assistance (TA) and implementation support will finance TA and capacity building activities and implementation support to ME, Benin Power Distribution Utility (SBEE), Benin Rural Electrification Agency (Agence béninoise de l’électrification rurale et de la maitrise d’énergie, ABERME), and National Authority for the Regulation of the Electricity Sector (ARE) to ensure project sustainability and to facilitate the monitoring of the achievement of targeted results.",0.048610944
P174078,2021,0.03,0.02,0.02,"West Bank Emergency Social Protection COVID-19 Response Project To provide cash and/or in-kind emergency support and short-term employment opportunities to vulnerable populations in West Bank and Gaza affected by emergency shocks including COVID-19 and in case of an eligible crisis or emergency, respond to it promptly and effectively. The objective of the Emergency Social Protection COVID‐19 Response Project for West Bank and Gaza is to provide cash support and short-term employment opportunities to vulnerable populations in West Bank, affected by COVID-19. The Project has four components.  1. Emergency Cash Transfers in the West Bank component This component will finance cash transfers to approximately 89,400 poor and vulnerable-to-poverty households affected by COVID-19 in the West Bank. 1.1. Emergency Cash Transfer to households vulnerable to poverty subcomponent will provide one-time emergency cash transfers to eligible beneficiaries located in areas especially affected by the COVID-19 outbreak. 1.2. Financing of the Palestinian National Cash Transfer Program (CTP) funding gap subcomponent t will provide cash transfers to support eligible beneficiaries already receiving benefits from the existing CTP. 2. Cash for Work in the West Bank component will provide sub-grants to selected NGOs to implement cash for work sub-projects employing targeted vulnerable population, through temporary employment, including health and other social services to address COVID-19 related health and social needs. 3. Capacity Building Project Management, Monitoring and Evaluation component will ensure that the Project Coordination Unit (PCU) housed at the Ministry of Finance and the technical entities working directly with the PCU will be operational and will implement the project in conformity with the Legal Agreement, the Project Appraisal Document (PAD), and the Project Operations Manual (POM). The project will support the digitization of delivery and include technical assistance for the outreach campaign. Furthermore, this component will support a high-frequency crisis monitoring survey. 4: Contingent Emergency Response Component will provide an immediate response in the event of a future eligible crisis or emergency.",-0.43244815
P173811,2020,0.04,0.02,0.01,"Haiti COVID-19 Response To respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness in Haiti. The development objective of COVID-19 (Coronavirus) Strategic Preparedness and Response Project for Haiti is to prevent, detect and respond to the threat posed by COVID-19 (Coronavirus) and strengthen national systems for public health preparedness. This project has three components. 1) The first component, Emergency COVID-19 (Coronavirus)  Response, aims to provide immediate support to minimize imported cases of COVID-19 (Coronavirus) , to limit local transmission through containment strategies and to strengthen clinical care capacity and critical core functions of the health system to provide the best care possible for people who become ill despite a surge in demand. It has the following subcomponents: (i) Containment interventions; (ii) Communications activities supporting preparedness; and (iii) Reinforcement of healthcare services provision capacity. 2) The second component, Health System Strengthening, aims to support the strengthening of public health systems for pandemic preparedness, focusing on the key areas identified in the last Joint External Evaluation  (JEE) of country International Health Regulations (IHR) core capacities for Haiti. 3) The third component, Implementation Management and Monitoring and Evaluation, aims to finance activities to support the capacity of the central Ministry of Public Health and Population (MSPP) units and Departmental health authorities in the coordination, implementation management and supervision of the Project (including fiduciary aspects and monitoring and evaluation, safeguards and reporting of Project activities and results), and the carrying out of project audits.",-0.44029346
P505187,2024,0.54,0.44,0.1,"Malawi Health Emergency Preparedness, Response and Resilience Project Using the Multiphase Programmatic Approach To strengthen health system resilience and multisectoral preparedness and response to health emergencies in the Republic of Malawi The development objective of Health Emergency Preparedness Response and Resilience Program Using the Multiphase Programmatic Approach Project for Malawi is to strengthen health system resilience and multisectoral preparedness and response to health emergencies in Eastern and Southern Africa. This project has four components. 1) The first component, Strengthening the Preparedness and Resilience of the Health System to Manage Health Emergency (HEs), has the following sub-components: (i) Enhancing Multisectoral Planning, Financing, and Governance for Improved Resilience to HEs; (ii) Strengthening Health Workforce Development; (iii) Improving Access to Quality Health Commodities; and (iv) Enhancing Information Systems for HEs and Digitalization of the Health Sector. 2) The second component, Improving Early Detection of and Response to HEs through a Multisectoral Approach, has the following sub-components: (i) Collaborative Multisectoral Surveillance and Laboratory Diagnostic; (ii) Emergency Management, Coordination, and Essential Service Continuity; and (iii) Risk Communication and Community Engagement (RCCE), Empowerment, and Social Protection during HEs. 3) The third component, Project Management and Monitoring and Evaluation, has the following sub-components: (i) Enhancing Project Monitoring and Evaluation (M&E); (ii) Providing Tailored Technical Assistance and Facilitating Delivery of a Learning Agenda; and (iii) Strengthening Project Management through Support of the Implementing Institutions and Multisectoral Collaboration. 4) The fourth component, Contingent Emergency Response (CERC), will facilitate access to rapid financing by allowing for the reallocation of uncommitted project funds in the event of a natural disaster in a country, either by a formal declaration of a national emergency or upon a formal request from the government.",-0.26292145
P162621,2018,0.0,0.0,0.0,"National Statistics and Data for Development The project development objective is to improve the production and dissemination of quality socioeconomic statistics. The project will also support the use of data in evidence-based policy making through improved capacity for spatial development planning and aid data management. The objective of the National Statistics and Data for Development Project for Mozambique is to improve the production and dissemination of quality socioeconomic statistics. The project will also support the use of data in evidence-based policy making through improved capacity for spatial development planning and aid data management. There are four components to the project, the first component being INE institutional strengthening and capacity building. The component will support strengthening INE’s ability to strategically plan and coordinate the vision for the NSS as well as provide quality assurance in the production of statistics. This component also supports the foundational human resources and ICT infrastructure necessary for INE to lead the NSS and fulfill its mandate as the main producer of timely and objective official data and statistics. The second component is the data collection, analysis, and dissemination. This component comprises four subcomponents: population and housing census, welfare monitoring system, national accounts, consumer price indicators, and economic statistics, and data accessibility. The third component is the mainstreaming spatial development planning. The aim of this component is to enhance SDP capacity across priority national government agencies, ensure the sustainability and institutionalization of the PDE, and enhance development of skills in spatial planning in Mozambique’s public sector. Finally, the fourth component is the aid data management for enhanced planning, budgeting, and monitoring. The objective of this component is to enhance the GoM’s aid data management for improved planning, budgeting, and monitoring of overall development spending.",-0.4549549
