id,fiscalyear,Climate change,Climate adaptation,Climate mitigation,text,pred_a,pred_m
P171611,2020,0.66,0.38,0.28,"Chad Local Development and Adaptation Project The project development objective is to improve the management of natural resources and the livelihood of populations in selected climate vulnerable areas in and around the Ouadi Rime and Ouadi Achim (OROA) reserve in Chad?. The objective of the Albia - Local Development and Adaptation Project for Chad is to improve the management of natural resources and the livelihood of populations in selected climate vulnerable areas in and around the Ouadi Rime and Ouadi Achim (OROA) reserve in Chad. The Project has four components. 1. Sustainable Natural Resources Management and Protected Areas component will support the improved management of OROA as well as national effort to fight against poaching and promote conservation of biodiversity in line with the country’s engagement in the GEF-7 (Global Environment Facility) Global Wildlife Program. 1.1. Improved Management of Protected Areas subcomponent will support biodiversity conservation and strengthen the capacity of key conservation institutions. It will combine activities centred on the OROA as well as activities at national level. 1.2. Community Sustainable Natural Resources Management subcomponent will: (a) ensure that processes around natural resource management are community-led/driven, participatory and inclusive; and (b) that community participatory natural resources use planning is based on the community dialogue as an efficient tool to prevent conflict and establish an enabling environment for both social and economic development. 2. Promoting Diversified, Resilient, Sustainable Livelihoods component will support the creation of necessary conditions for communities in the hotspots area facing climatic impact to strengthen their resilience through (i) income generating activities and integrated agriculture production as well as job creation, and (ii) water supply and sanitation to communities, health centers and schools. 2.1 Water resources planning and monitoring (IDA-International Development Association) subcomponent will finance a detailed study of water resources in the project area in and around the reserve, to map the available resources and evaluate the potential impact that additional uses may have on the reserve and other existing uses. 2.2 Income Opportunities and Resilient Livelihoods subcomponent will support the setting-up of an integrated agricultural production site - a fenced area including agroforestry, market gardening, storage warehouse, training center, and water points - in each selected hotspot outside the reserve. 2.3. Rural Water Supply, Sanitation, and Hygiene (IDA) is structured into two main interventions: (i) increasing semi-urban and rural access to Water Supply and Sanitation (WSS) services; and (ii) enhancing service delivery management capacity. Consequently, connecting health centers, building latrines and strengthening hygiene practices will contribute to reinforce the health system through prevention and awareness tools on water born disease, Cholera, Coronavirus Disease 2019 (COVID-19), etc. 3. Project Management, Coordination, and Monitoring (GEF + IDA) component will finance the operational costs of the Project Implementation Unit (PIU). 4. Contingency Emergency Response Component (CERC) will allow the governments to quickly mobilize funds in the event of an emergency that will require immediate recovery and reconstruction response.",0.32957646,0.3405542
P170934,2020,0.23,0.09,0.14,"Burkina Faso Second Fiscal Management, Sustainable Growth and Health Service Delivery Development Policy Operation The Program Development Objective (PDO) is to support the Government's efforts to: (i) strengthen fiscal management; (ii) improve natural resources management and raise mining and livestock productivity; and (iii) improve health service delivery and social spending efficiency. The Fiscal Management, Sustainable Growth and Health Service Delivery operation is the second in a programmatic series of three Development Policy Financing (DPF) operations. It is a single-tranche disbursement of IDA Credit for EUR 67.60 million (US73.975 million dollars equivalent) and IDA grant SDR 54.30 (US73.975 million dollars equivalent). The Program development objectives (PDOs) are to (i) strengthen fiscal management; (ii) improve natural resources management and raise mining and livestock productivity; and (iii) improve health service delivery and social spending efficiency. In the context of a fragile and poor country facing hard security, humanitarian and, most recently, COVID-19 shocks, the program supported by the DPF series has preserved modest but steady progress on structural reforms, while contributing to the response to the COVID-19 crisis. The series selectively addresses three binding constraints to growth of the Country Partnership Framework (CPF): scarce public resources, low agricultural and mining productivity, and inefficient health and social service delivery. These three critical areas of reform are supported by a solid macroeconomic framework and a public sector capable of creating fiscal and delivering social services to the extent of its possibilities. By creating fiscal space, providing key tools to redeploy health professionals, improving control of the distribution of medicines in COVID-19-affected areas, and setting the basis for a proper registration mechanism of indigents, including those testing positive to the virus and eligible IDPs, this DPF complements an emergency COVID-19 response investment project financing (IPF) supporting the Government’s efforts aiming to prevent, detect and respond to the threat posed by COVID-19, while strengthening national systems for public health preparedness.",0.056795243,0.05093717
P174273,2021,0.73,0.34,0.39,"COVID-19 Adaptation and Recovery Pilot: Supporting Firms Resilience, Access to Finance and Growth in Iraq To test the effectiveness of selected financial and firm-level interventions in providing liquidity, building capacity for targeted small and growing businesses (SGBs), and mobilizing private investment. The development objective of COVID-19 Adaptation and Recovery Pilot Project for Supporting Firms Resilience, Access to Finance and Growth in Iraq is to test the effectiveness of selected financial and firm-level interventions in providing liquidity, building capacity for targeted small and growing businesses (SGBs), and mobilizing private investment. This project has four components. 1) The first component, Financial Inclusion, aims to support the strengthening of Micro, Small, and Medium Enterprises (MSME) finance in Iraq, with a particular focus on providing liquidity support to MFIs on the one hand and strengthening the legal and regulatory framework governing MSME finance on the other. It has the following sub-components: (i) Provision of liquidity support to most affected micro and small business owners through Microfinance Institution (MFIs); and (ii) Strengthening the legal and institutional framework for MSME finance in Iraq. 2) The second component, SME-Support Measures, aims to support the strengthening of the Small and Medium Enterprises (SME) sector, with a particular focus on SGBs, a subset of SMEs, which are key to providing quality employment opportunities and solutions to critical development challenges in Iraq. It has the following sub-components: (i) Enhancing the capabilities of firms; and (ii) Catalyzing private investment into Iraqi SGBs. 3) The third component, Project Management, aims to finance project management costs over the project life. 4) The fourth component, Contingent Emergency Response Component, is a contingency component to be considered in the case of a relevant emergency event.",0.14423753,0.055930898
P173012,2021,1.0,1.0,0.0,"Jamaica Catastrophe Bond for increased Financial Resilience to Natural Disasters and Climate Shocks To expand Jamaica's financial protection against losses arising from severe tropical cyclones-wind. The development objective of Catastrophe Bond for Increased Financial Resilience to Natural Disasters and Climate Shocks Project for Jamaica to expand Jamaica's financial protection against losses arising from severe tropical cyclones-wind. This project has one component that is to develop and implement risk transfer transactions against tropical cyclones-wind effects, including through the financing of transaction costs and premiums.",0.5869072,0.13324012
P167941,2020,1.0,1.0,0.0,"Madagascar Disaster Risk Management Development Policy Financing with a Catastrophe Deferred Drawdown Option (Cat DDO) The development objective of the proposed operation is to strengthen the Government of Madagascar’s institutional, technical and financial capacity to manage disaster and climate-related risks. The development objective of Disaster Risk Management Development Policy Financing with a Catastrophe Deferred Drawdown Option Project is to strengthen the government of Madagascar’s institutional, technical and financial capacity to manage disaster and climate-related risks. The program is structured around three pillars as follows: Pillar 1 will strengthen the national system for disaster risk management; Pillar 2 will strengthen financial resilience to disasters; and Pillar 3 will mainstream disaster and climate resilience into territorial and urban planning. This operation is fully aligned with the World Bank country partnership framework (CPF) FY 2017–2021 for Madagascar.",0.95810807,-0.023411674
P173911,2020,0.0,0.0,0.0,"Georgia Emergency COVID-19 Response Project The project development objective is to prevent, detect, and respond to the threat posed by the COVID-19 pandemic and strengthen national systems for public health preparedness in Georgia. The purpose of the Emergency COVID-19 Project in Georgia is to prevent, detect and respond to the threat posed by COVID-19 (Coronavirus) and strengthen national systems for public health preparedness. This project consists of three components. Component one is Emergency COVID-19 (Coronavirus) Response.  There are two subcomponents; (i) Case Detection and Confirmation, and; (ii) Health System Strengthening for Case Management. The second component will enable health measures to contain the COVID-19 (Coronavirus) outbreak through temporary Income support for poor households and vulnerable Individuals. There are two subcomponents: (i) Cash transfers to poor and vulnerable households, and; (ii) Temporary unemployment assistance for individuals who lose their job because of the COVID-19 (Coronavirus) outbreak. Component three will support project implementation for the overall administration of the project.",-0.0013196206,-0.026555832
P173817,2020,0.0,0.0,0.0,"Lao PDR COVID-19 Response Project To respond to the COVID-19 outbreak and strengthen national systems for public health emergency preparedness in Lao PDR. The purpose of the COVID-19 Response Project in Lao PDR is to prevent, detect and respond to the threat posed by COVID-19 (Coronavirus) and strengthen national systems for public health preparedness. This project consists of three components. Component one will support preparedness and emergency response activities to address immediate gaps for COVID-19 (Coronavirus) response in Lao PDR, focusing on the following areas: (i) response coordination; (ii) infection prevention and control; (iii) case detection, confirmation, and contact tracing; (iv) case management; and (v) risk communication and community engagement. Component two will strengthen the capacity of the health system to respond to public health emergencies by supporting clinical response, laboratory, isolation and case management capacity of health facilities at central and provincial levels, including supporting medical supplies, furniture, virtual conference facilities and network installation to manage COVID-19 (Coronavirus) cases. The third component will finance activities related to project management and monitoring, including the project management unit, and project monitoring and evaluation.",0.025507577,0.010084221
P155540,2017,0.0,0.0,0.0,"Third Economic Reform Development Policy Operation The program has two development objectives corresponding to the two pillars of the proposed operation: (i) to strengthen public financial management, through greater transparency in managing fisheries revenue, improved governance of the RERF, and better reporting and monitoring of public debt and contingent liabilities; and (ii) to create an environment for inclusive and private sector led growth, through reducing the costs, improving the quality, and expanding the coverage of essential public services (electricity, water, sewage, and telecommunications). The development objective of Third Economic Reform Development Policy Operation Project for Kiribati is to (i) strengthen public financial management, through greater transparency in managing fisheries revenue, improved governance of the sovereign wealth fund, and better reporting and monitoring of public debt and contingent liabilities; and (ii) create an environment for inclusive and private sector led growth, through reducing the costs, improving the quality, and expanding the coverage of essential public utilities services (electricity, water, sewage, and telecommunications). The operations supported the government actions in three main policy areas: (i) improving the management of fisheries revenues; (ii) improving the management of public assets and liabilities; and (iii) expanding private sector opportunities. This operation is aligned with the priorities identified in the existing Country Assistance Strategy and the new Systematic Country Diagnostic for the Eight Pacific Island Countries.",0.10210191,0.026965499
P151072,2018,0.04,0.02,0.02,"National Agricultural Higher Education Project The objective of the Project is to support Participating Agricultural Universities and ICAR in providing more relevant and higher quality education to Agricultural University students. The objective of the National Agricultural Higher Education Project for India is to support participating agricultural universities and ICAR in providing more relevant and higher quality education to Agricultural University students. There are three components to the project, the first component being support to agricultural universities. This component will finance investments by participating AUs to improve the qualityand relevance of agricultural education and research toward agricultural transformation. The component will competitively award significant additional resources to participating AUs and will finance goods, works, non-consulting services, training and consultant’s services. this component includes three subcomponents: support to AUs, centers for advanced agricultural science and technology, and ICAR innovation grants to AUs. The second component is the investment in ICAR leadership in agricultural higher education. This component will finance the carrying out of institutional reforms within ICAR in order to enhance ICAR’s effectiveness in coordinating, guiding and managing agricultural higher education and its interactions with AUs and key stakeholders nationwide through interventions that increase the quality and relevance of agricultural higher education. Finally, the third component is the project management and learning. The component will strengthen ICAR’s management capacity for project implementation, including: (a) the establishment/maintenance of a Project Implementation Unit (PIU), a Steering Committee, a Technical Committee and a Monitoring and Evaluation Cell to ensure compliance with the Project’s procurement, financial management, safeguards and reporting requirements, and the carrying out of the administration, supervision, monitoring and evaluation of IDP Grants, CAAST grants and innovation grants and/or proposals therefor; (b) the provision of training to ICAR and participating AUs to achieve and sustain increased quality, relevance and effectiveness of agricultural higher education. The component will also finance the dissemination and communication of project interventions and outcomes.",0.25501075,0.024903206
P159052,2018,0.17,0.12,0.06,"Angola Commercial Agriculture Development Project (PDAC) The proposed Project Development Objective is to increase productivity and market access for selected beneficiaries in the project areas. The objective of the Commercial Agriculture Development Project for Angola is to increase productivity and market access for selected beneficiaries in the project areas. There are four components to the project, the first component being promotion and support for agribusiness development. This component will support eligible farmers and agribusiness SMEs, including those led by/made up of women and youth, to adopt better technologies, improve their skills, access financial markets, and process and commercialize their products. This component includes two subcomponents: strengthening skills, productivity, and commercialization, and partial credit guarantees. The second component is the infrastructure for production and marketing. This component will finance critical enabling infrastructure for the development of commercial agriculture in the project areas, including: (a) rehabilitation of rural roads: (b) small‐scale public irrigation infrastructure: and (c) ‘last‐mile’ connection to the electricity grid and conversion to three phases. This component includes three subcomponents: rehabilitation of rural roads, support to public irrigation projects, and last‐mile rural electricity connections. The third component is the institutional strengthening and improved business environment. This component intends to improve the business environment and institutional capacity to support private sector competitiveness in selected value chains. This component includes two subcomponents: value chain strategy development, research and development, and institutional capacity strengthening. Finally, the fourth component is the project management, monitoring, and evaluation.",0.2509807,0.079967014
P174034,2022,0.61,0.14,0.47,"Niger Accelerating Electricity Access Project (Haské) Increase access to modern energy services in Niger through grid, mini grids, off-grid and clean cooking solutions. The development objective of the First Phase of Accelerating Electricity Access Project for Niger is to increase access to modern energy services in Niger through grid, mini grids, off-grid, and clean cooking solutions. The project comprises of five components. The first component, reinforcement and expansion of transmission and distribution (T and D) networks to increase access to grid electricity services will enable access to grid electricity service by building upstream T and D backbones and upgrading and densifying existing distribution networks. It consists of following sub-components: (i) construction of the transmission interconnector between western grid and the center-eastern grid; (ii) increasing access to grid electricity through densification, reinforcement of existing systems and construction of new distribution networks; and (iii) construction of service connections and support to productive uses of energy for new electricity consumers. The second component, reinforcing the ecosystem for the development of solar photovoltaic (PV) powered mini grids in rural areas will scale up and reinforce activities under Niger Solar Electricity Access Project (NESAP) by supporting: (a) the development of new solar PV-diesel hybrid mini grids through private operators; and (b) the solar PV hybridization and densification of existing diesel-powered mini grids to provide access to new consumers as well as improve supply to existing users. It consists of following sub-components: (i) development of new solar mini grids through private operators; and (ii) solar hybridization and densification of existing Nigerien Electricity Company (NIGELEC) - operated diesel mini grids. The third component, increasing access to solar off-grid electricity for public institutions, households, and productive uses of energy and clean and efficient cooking solutions will contribute to the development of human capital by electrifying social infrastructures including schools, health centers, and drinking water pumping systems in rural areas not identified for electrification through mini grids or the main grid. It consists of following sub-components: (i) solar electrification of public institutions in rural areas; (ii) solar off-grid electrification for households and productive uses of energy; and (iii) increasing access to clean and efficient cooking (CEC) solutions. The fourth component, utility operational performance improvement, institutional strengthening, technical assistance, and implementation support includes following sub-components: (i) utility operational improvement; (ii) institutional strengthening and technical assistance; and (iii) project management and implementation support. The fifth component, contingent emergency response component (CERC) will allow for rapid reallocation of credit and grant uncommitted funds in the event of an eligible crisis or emergency.",0.025020642,0.8857291
P177902,2022,0.41,0.3,0.11,"Accelerating Transport and Trade Connectivity in Eastern South Asia – Nepal Phase 1 Project The development objective is to increase the efficiency and resilience of trade and transport along selected corridors in Nepal. The development objective of First Phase of the Accelerating Transport and Trade Connectivity in Eastern South Asia Project is to increase the efficiency and resilience of trade and transport along selected corridors in Nepal. This project has four components. 1) The first component, Digital Systems for Trade, has the following sub-components: (i) Design, supply, development, installation, configuration, and testing of an electronic automated border management system, including an electronic cargo tracking system; (ii) – Design, supply, development, installation, configuration, and testing of a business intelligence and data analytics system and risk engine; (iii) Deployment of intelligence systems related to data networks, closed-circuit television (CCTV) systems, and other monitoring systems, through the upgrading of hardware and software systems; and (iv) Design, supply, development, installation, configuration, and testing of a web-based supply management information system for the automation of registration processes and permits. 2) The second component, Green and Resilient Transport and Trade Infrastructure, has the following sub-components: (i) Upgrading works and construction supervision for the Butwal-Gorusinghe-Chanauta (BGC) road section; (ii) Detailed design, construction, and construction supervision of a green resilient urban bridge, including the construction of a green climate-resilient four-lane bridge; (iii) Development and implementation of a green resilient highway corridor concept and strategy to support the development, approval, and implementation of an integrated strategy. 3) The third component, Institutional and Policy Strengthening for Transport and Trade, has the following sub-components: (i) Providing technical assistance to advance Nepal’s preparedness and subsequent implementation of the Motor Vehicle Agreement (MVA); (ii) Supporting customs reforms; (iii) – Supporting implementation of private sector support initiatives; (iv) Supporting training, consultants’ recruitment, and capacity strengthening activities for the Implementing Agencies (IAs), other relevant agencies at the central, provincial, and local levels, and the private sector, on critical issues; and (v) Providing support for the preparation of future projects through relevant preparatory studies. 4) The fourth component, Contingency Emergency Response (CERC), will provide support for an immediate response to an eligible crisis or emergency, as needed.",0.23168352,0.10013556
