iati_identifier,text,Climate change,Climate mitigation,Climate adaptation
44000-P088996,Mexico (CRL) Integrated Energy Services Increase access to efficient and sustainable integrated energy services in predominantly indigenous rural areas of Mexico,0.33,0.33,0.0
44000-P106589,"Information Technology Development The general objective of the Project is to contribute to developing the IT and ITES Industry in Mexico, by improving its human skills, infrastructure, links between local and global companies, financing and legal and regulatory framework.",0.0,0.0,0.0
44000-P121195,MX Water Utilities Efficiency Improvement Project (PROME) The PDO is to improve the efficiency of Participating Water Utilities through the provision of Technical Assistance and Financing.,0.9,0.9,0.0
44000-P157932,Improving Access to Affordable Housing Project The Project's development objective is to increase access to affordable housing for low-income beneficiaries.,0.5,0.5,0.0
44000-P106424,Efficient lighting and appliances The Project Development Objectives are to promote Mexico's efficient use of energy and to mitigate climate change by increasing theuse of energy-efficient technologies at the residential level.,0.67,0.67,0.0
44000-P174000,"Environmental Sustainability and Urban Resilience DPF Support (i) strengthening environmental sustainability and resilience, and (ii) expanding access to resilient urban infrastructure and social housing.",0.73,0.4,0.33
44000-P153338,MX: Expanding Rural Finance The project's development objective is to expand the availability of finance to the rural economy.,0.0,0.0,0.0
44000-P087152,"Mexico Savings & Rural Finance (BANSEFI) Project - Phase II The objective of the Project is to assist the Borrower in strengthening the SCI sector with SCIs which are compliant with the Popular Savings and Credit Law, financially viable, operationally effective, managerially sound, technologically upgraded, and providing an enhanced level of outreach and access to financial services by the underserved Mexican populations.",0.0,0.0,0.0
44000-P172863,"COVID-19 Financial Access DPF Contribute to the government's efforts to: (i) support liquidity in the financial sector, and (ii) establish instruments for improved financial access.",0.01,0.0,0.01
44000-P107159,MX Urban Transport Transformation Progr The objective of the Project is to contribute to the transformation of urban transport in Mexican cities toward a lower carbon growth path.,0.97,0.97,0.0
44000-P149858,Mexico Reducing Inequality of Educational Opportunity Project The objectives of the Project are: (a) to improve parental competencies in early childhood development in targeted rural communities; and (b) increase the transition rate from the primary to the secondary education level in CONAFE-administered schools in targeted municipalities.,0.0,0.0,0.0
44000-P180496,Mexico Promoting Women s Economic Opportunities and Sustainable Productivity Growth DPL The DPF supports components of the authorities policy measures promoting: (a) women's economic opportunities; and (b) sustainable productivity growth.,0.39,0.33,0.06
44000-P164389,Water Security and Resilience for the Valley of Mexico (PROSEGHIR) The objectives of the Project are to improve the reliability of the Cutzamala System and strengthen the management of groundwater resources in the Valley of Mexico,0.48,0.09,0.4
44000-P147185,"Mexico School Based Management Project The objective of the Project is to improve schools' managerial capacity and parental participation to reduce dropout, repetition and failure rates among Participating Schools.",0.0,0.0,0.0
44000-P167674,Mexico Financial Inclusion DPF Support the government's efforts to increase financial inclusion.,0.11,0.0,0.11
44000-P174150,Mexico Strengthening Economic Sustainability DPF To facilitate economic resilience and support fiscal and environmental sustainability,0.17,0.08,0.08
44000-P126487,"MX Moderniz of National Meteorological Serv (MOMET) The Project Development Objective (PDO) is to  strengthen the human resource, institutional, and infrastructural capacity of the Servicio Meteorológico Nacional to meet the increasing demand for timely and accurate weather and climate information for the purposesof water resources management and disaster risk management in the face of climate change and climate variability.",0.2,0.2,0.0
44000-P123760,"Mexico Forests and Climate Change Project The PDO is to support rural communities in Mexico to sustainably manage their forests, build social organization, and generate additional income for forest products and services including the reduction of emissions from deforestation and degradation (REDD+)",0.96,0.5,0.46
44000-P164661,Strengthening Entrepreneurship in Productive Forest Landscapes The Project Development Objective (PDO) is to strengthen sustainable forest management and increase economic opportunities for forest-dependent people and enterprises in selected forest landscapes in Mexico.,0.76,0.64,0.12
44000-P177329,"RMI Multisectoral Early Childhood Development Project - II To improve coverage of multisectoral early childhood development services in the Republic of the Marshall Islands and in case of anEligible Crisis or Emergency, respond promptly and effectively to it.",0.04,0.0,0.04
44000-P161382,"Marshall Islands Maritime Investment Project To improve the safety, efficiency and climate resilience of maritime infrastructure and operations in the Recipient's territory, and in the event of an Eligible Crisis or Emergency, to provide an immediate response to the Eligible Crisis or Emergency.",0.27,0.0,0.27
44000-P160910,"Sustainable Energy Development Project The objective of the project is to increase the share of renewable energy generation in the Recipient's territory, and enhance the reliability of electricity supply and improve energy efficiency in the Project Areas.",0.91,0.91,0.0
44000-P171924,"RMI Education and Skills Strengthening Project To improve equitable access to quality secondary, post-secondary technical and vocational education and training, and employment intermediation services.",0.12,0.06,0.06
44000-P171517,"Digital Republic of the Marshall Islands Project To expand access to the internet, promote private sector investment in climate resilient digital infrastructure, and establish the critical foundations for digital government services and the digital economy in the Recipient's territory.",0.54,0.46,0.08
44000-P128013,MH:  First ICT Sector Development Operation To increase access to telecommunications in the Marshall Islands.  The Program will increase the availability of telecommunicationsinfrastructure and enable the more widespread application of ICT services supporting improvements in economic and social development.,0.0,0.0,0.0
44000-P163131,"Project to Strengthen budget execution and financial reporting systems The objective of the project is to improve the completeness, reliability and timeliness of Government's annual financial statements, and the availability of reliable socioeconomic statistics.",0.0,0.0,0.0
44000-P177124,Republic of the Marshall Islands Urban Resilience Project To strengthen the resilience of select urban areas in the Republic of the Marshall Islands to the impacts of natural hazards and climate change,0.95,0.02,0.93
44000-P155257,PACIFIC RESILIENCE PROJECT UNDER PACIFIC RESILIENCE PROGRAM To strengthen the financial protection of the Republic of the Marshall Islands from natural disasters.,1.0,0.0,1.0
44000-P160096,"Pacific Resilience Project II under the Pacific Resilience Program The Objective of the Project in the Republic of the Marshall Islands (RMI) is to strengthen early warning systems, climate resilient investments in shoreline protection, and to provide immediate and effective response to an Eligible Crisis or Emergency.",0.99,0.0,0.99
44000-P166800,Multisectoral Early Childhood Development Project To improve coverage of multisectoral early childhood development services,0.0,0.0,0.0
44000-P178544,"Pacific Islands Regional Oceanscape Program - Second Phase for Economic Resilience The Development Objective of the Series of Projects is to strengthen the shared management of selected Pacific Island oceanic and coastal fisheries, and the critical habitats upon which they depend.

For the Republic of the Marshall Islands second phase's project(“RMI PROPER”), the proposed Project Development Objective (PDO) is to strengthen regional collaboration and national capacity for the management and the sustainable development of the oceanic and coastal fisheries sector in Republic of the Marshall Islands.",0.16,0.02,0.13
44000-P168587,"Financial Inclusion and Digital Economy DPF The Program Development Objective (PDO) is to foster financial inclusion and contribute to digital transformation for individuals, enterprises, and entrepreneurs.",0.14,0.04,0.1
44000-P150928,Financing Innovative Startups and Small and Medium Enterprises Project The project objective is to facilitate the increase of private equity and quasi-equity finance for innovative startups and small and medium enterprises in the Project Area.,0.0,0.0,0.0
44000-P169330,Morocco Public Sector Performance (ENNAJAA) Program The Program Development Objective is to improve performance and transparency of government operations and service delivery,0.12,0.03,0.09
44000-P093719,MA-Modernization of Irrigated Agriculture in the Oum Er Rbia Basin The Revised Development Objective  is for participating farmers in the Project Area to increase adoption of more efficient irrigation technologies.,0.0,0.0,0.0
44000-P179014,Morocco Health Reform Program To strengthen institutional capacity and governance for improved provision of quality public health services in the Program Area,0.22,0.16,0.07
44000-P149653,"Morocco Urban Transport Project (P4R) The Program Development Objective is to strengthen the capacity of urban transport institutions to plan, implement and monitor infrastructure and services, and to improve the level of service of urban transport in targeted corridors in the Program Area.",0.0,0.0,0.0
44000-P178910,Morocco Accelerating the Transformation of Higher Education and Scientific Research Operation To improve the labor market relevance of priority  programs at public higher education institutions and to strengthen specific research and governance capabilities of the higher education system.,0.0,0.0,0.0
44000-P130903,"MA Accountability and Transparency DPL The First Transparency and Accountability DPL is the first operation in a new governance programmatic series initiated after the adoption of a new Constitution in Morocco, on July 1, 2011, in the regional context of the Arab Spring.
The objective of this DPL series is to support the concretization of key new constitutional governance principles and rights, aimed at increasing transparency, accountability and enhancing citizen engagement and access to information. The DPL supports the first phase of the Government's program to implement the Constitution's key governance principles and rights.",0.0,0.0,0.0
44000-P151169,Supporting the economic inclusion of youth The project development objective is to increase access to economic opportunities for youth in the project area.,0.15,0.04,0.12
44000-P178763,Morocco Climate Operation / Support to the Nationally-Determined Contribution (NDC) The Objective of the Program is to strengthen the institutional capacity to implement the NDC and enhance climate resilience of targeted  vulnerable groups and ecosystems in the Program area.,0.81,0.33,0.48
44000-P147257,"MA Capital Market Development & SME Finance DPL 	A. Deepening capital markets by broadening the range of instruments and investors
	B. Reforming pension system to ensure continued institutional demand for capital market securities
	C. Fostering solutions for the financing of small and young enterprises
	D.Consolidating oversight to balance greater access with continued financial stability",0.0,0.0,0.0
44000-P170419,Morocco Green Generation Program-for-Results The PDO is to increase the economic inclusion of youth in rural areas and the marketing efficiency and environmental sustainability of agri-food value chains in the Program area.,0.67,0.32,0.35
44000-P179192,Morocco Water Security and Resilience Program The Program Development Objective is to strengthen water sector institutions and increase water availability in selected areas in Morocco,0.31,0.0,0.31
44000-P181522,Supporting the implementation of SOE Reform in Morocco,0.0,0.0,0.0
44000-P145529,MA-Rural Water Supply The project development objective (PDO) is to provide access to safe and reliable drinking water supply for rural communities in targeted underserved areas in the Project area.,0.0,0.0,0.0
44000-P167619,"Education Support Program To establish an enabling environment for quality Early Childhood Education service delivery, support improved teaching practices inprimary and secondary education, and strengthen management capacity and accountability along the education service delivery chain in the Program Areas.",0.08,0.04,0.04
44000-P120541,"Second Education Development Policy Loan To strengthen the schools sector's institutional arrangements in the short term, in ways that in the medium term will: (i) increaseaccess to school education, especially for rural girls and boys at the lower secondary level; (ii) improve the quality of teaching and learning in primary and lower secondary education; and (iii) enhance efficiency in decentralized governance of the schools sector.",0.0,0.0,0.0
44000-P173073,"Improving Early Childhood Development outcomes in rural Morocco Improve access to select quality ECD services in rural areas of Morocco and establish mechanisms to strengthen monitoring, evaluation and coordination of ECD services.",0.14,0.03,0.12
44000-P144539,Integrated Disaster Risk Management and Resilience Program The program development objective (PDO) is to improve the institutional framework to finance disaster risk reduction activities and strengthen financial resilience to natural disasters for targeted populations in the Program Area.,0.0,0.0,0.0
44000-P168147,Municipal Performance Program The Program Development Objective is to improve the institutional and service delivery performance of Participating Municipalities.,0.3,0.2,0.11
44000-P143689,Clean and Efficient Energy Project To support clean power generation and to improve operational efficiency of Morocco's national power utility.,0.99,0.99,0.0
44000-P127956,"MA-Inclusive Green Growth DPL The Program Development Objectives of the programmatic DPL series are: 
PDO1. Improving the management of natural capital; 
PDO2. Greening physical capital; 
PDO3. Strengthening and diversifying the rural economy by leveraging human capital.",0.44,0.33,0.11
44000-P172926,"Blue Economy Program for Results Develop Morocco's institutional frameworks, improve integrated management of natural resources, and strengthen selected sectors fora climate-resilient blue economy in Targeted Areas",0.52,0.23,0.29
44000-P168580,"Morocco Disaster Risk Management Development Policy Loan with a Catastrophe Deferred Drawdown Option The development objective of the proposed operation is to support the Government of Morocco in (a) strengthening the country's institutional capacity to deal with the adverse financial impacts of disasters and climate-related shocks, and (b) strengthening Morocco's institutional framework for disaster and climate-related risk management.",1.0,0.0,1.0
44000-P129326,MA MSME Development Project To improve access to finance for MSMEs in Morocco,0.0,0.0,0.0
44000-P086877,"Rural Water Supply and Sanitation Project The Project development objective is to support the Government program to increase sustainable access to potable water supply in rural areas, while promoting improved wastewater management and hygiene practices.",0.0,0.0,0.0
44000-P098459,Morocco Oum Er Rbia Sanitation The objective of the Project is to increase access to sanitation services and reduce wastewater-related pollution in selected smalland medium towns in the Project provinces.,0.0,0.0,0.0
44000-P100397,"MA-Regional Potable Water Supply Systems Project The project development objective (PDO) is to increase access to potable water supply for selected communities in the project provinces of Nador, Driouch, Safi, Youssoufia, Sidi Bennour, and Errachidia.",0.0,0.0,0.0
44000-P167894,MA North-East Economic Development Project To improve connectivity and enable private sector growth in the project area.,0.27,0.05,0.22
44000-P172809,"Morocco COVID-19 Social Protection Emergency Response Project Mitigate the negative impacts of the COVID-19 crisis, strengthen cash transfer programs and support the transition toward the new social protection system for poor and vulnerable households",0.02,0.0,0.02
44000-P175747,Resilient and Sustainable Water in Agriculture The project development objectives (PDO) are to: (i) enhance the governance of water in agriculture ; (ii) improve quality of Irrigation services; (iii) increase access to advisory services and to modern on-farm irrigation technologies in the Project Areas.,0.92,0.04,0.88
44000-P127038,"Economic Competitiveness Support Program DPL The objective of the proposed program is to support policy reforms for increased competitiveness and job creation in the Moroccan economy in three key areas of the Government's comprehensive economic strategy: the investment climate, trade policy and trade logistics and economic governance.",0.0,0.0,0.0
44000-P149995,"Casablanca Municipal Support Program The Program Development Objective (PDO) is to increase the investment capacity of the Municipality of Casablanca, improve the business environment in the city, strengthen the city's resilience to climate change and enhance access to basic services in the Program Area.",0.26,0.24,0.01
44000-P158346,Strengthening Agri-Food Value Chains The Program Development Objective is to increase the volume of added-value products commercialized in selected agri-food value chains in the Program area.,0.39,0.16,0.22
44000-P104265,"MA-Support to ONE (Office National de l'Electricit ) The objective of the Project is to increase the efficiency and reliability of electricity supply. This objective will be achieved through:

- Strengthening of the transmission and distribution infrastructure and supporting reductions in overall technical losses;
- Support to DSM programs to reduce electricity demand growth;
- Promotion of wind generation;
- Assistance to ONE to adjust toa new market environment.",0.0,0.0,0.0
44000-P127955,"Solid Waste Sector DPL3 The objective of this Program is to support the Government's efforts to improve the economic, environmental, and social performanceof the Municipal Solid Waste sector.",0.0,0.0,0.0
44000-P094007,Morocco - Second Rural Roads Project The objective of the Project is to increase rural populations' access to all-weather roads in support of the Guarantor's Program.,0.0,0.0,0.0
44000-P175720,"Grenada Resilience Improvement Project The Project Development Objective (PDO) is to increase the population's access to more disaster resilient, critical infrastructure and in the event of an Eligible Crisis or Emergency, to provide an immediate response to the Eligible Crisis or Emergency.",0.68,0.0,0.68
44000-P174527,Grenada COVID-19 Crisis Response and Fiscal Management DPC The development objective of this operation is to support Grenada's response to the COVID-19 crisis in the short term and also enhance long-term sustainability and resilience through (i) strengthening the Government's health and social protection responses to COVID-19; (ii) saving jobs and protecting livelihoods of households and firms; and (iii) strengthening fiscal management and transparency.,0.14,0.0,0.14
44000-P171465,"Disaster Risk Management Development Policy Credit with a Catastrophe Deferred Drawdown Option To strengthen Grenada's (a) disaster and climate resilience policy framework, and (b) fiscal risk management associated with natural hazards.",1.0,0.0,1.0
44000-P082392,"Public Sector Modernization Technical Assistance Credit The objective of this project is to assit the Government of Grenada to begin the process of modernizing its public sector. This includes building the capacity to design and implement public sector modernization initiatives which would address ""rightsizing"" the public sector and determining which services would best be delivered by an Executive Agency or commercialization.   The specific objectives of the project are to (i) improve service delivery in those agencies designated Executive Agencies; (ii) introduce modern human resource management principles into the public sector; (iii) build the capacity of the Government to lead and implement modernization efforts; (iv) encourage sub-regional cooperation through the procurement of select goods and services; and (v) strengthen the enabling environment for small and micro businesses.",0.0,0.0,0.0
44000-P147152,Grenada First Programmatic Resilience Building DPC The Program Development Objective of the proposed DPC/DPL series is to support Grenada in implementing a program of policy and institutional reforms to: (i) create conditions for private investment in a sustainable manner; (ii) support improved public resourcemanagement; and (iii) enhance resilience against natural disasters and key elements of resilience in the banking sector.,0.29,0.0,0.29
44000-P123128,Grenada Safety Net Advancement Project The revised Development Objectives of the Project are to strengthen the basic architecture of the SEED Program and the capacity of the Ministry of Social Development and Housing (MOSDH) to implement it.,0.0,0.0,0.0
44000-P095681,OECS (Grenada) Skills for Inclusive Growth The objective of the second phase of the APL is to support the Government of Grenada to increase the employability of youth throughpublic/private sector partnerships for technical and life skills training that is demand driven.,0.0,0.0,0.0
44000-P167588,"Digital Government for Resilience To enhance the efficiency, usage and resilience of selected government digital services.",0.21,0.0,0.21
44000-P172951,"Grenada - Caribbean Regional Air Transport Connectivity The Project Development Objectives (PDO) are to (i) improve operational safety and navigation efficiency of air transportation, (ii) increase the climate and disaster resilience of MBIA and (iii) strengthen Grenada's capacity in civil aviation and airport management",0.23,0.0,0.23
44000-P164289,"Grenada First Fiscal Resilience and Blue Growth Development Policy Credit The series Program Development Objectives are to: (i) Support fiscal measures and compliance with the Fiscal Responsibility Law; and (ii) Support Grenada's transition to a Blue Economy by strengthening marine and coastal management, marine ecosystem health, and climate resilience.",0.39,0.0,0.39
44000-P126038,"Competitiveness DPL Strengthen the competitiveness of FYR Macedonia's economy by incentivizing productive investment and technological upgrading in themanufacturing, agribusiness and trade logistics sectors, and establishing conditions to progressively increase labor market flexibility and skills development.",0.11,0.11,0.0
44000-P154464,"Second Municipal Services Improvement Project The Project Development Objective of MSIP2 Project (PDO) is to improve transparency, financial sustainability and inclusive delivery of targeted municipal services in the participating municipalities.",0.0,0.0,0.0
44000-P170343,Social Insurance Administration Project Improve the quality of services in administering social insurance and strengthen the regulatory framework for people with disabilities and hazardous occupations.,0.0,0.0,0.0
44000-P083126,"Real Estate Cadastre & Registration Project The objective of the project is to build an efficient and effective real estate cadastre and registration system, contributing to the development of efficient land and real estate markets.",0.0,0.0,0.0
44000-P171851,"North Macedonia Public Finance and Competitiveness DPL The proposed DPL supports reforms to strengthen public finances, improve market competition, and reduce the regulatory burden in North Macedonia.",0.17,0.17,0.0
44000-P082337,"ECSEE APL 3 - FYR Macedonia The objective of the Project is to support the functioning of AD MEPSO in the context of the regional power market through financing investments necessary to rehabilitate and upgrade the power transmission network, increase the level of interconnection with neighboring power systems, and to strengthen the institutional capacity of AD MEPSO.",0.0,0.0,0.0
44000-P101216,Agriculture Strengthening and Accession Project The Project Development Objective is to improve the delivery of government assistance to the agriculture sector in a manner consistent with the European Union's pre-accession requirements.,0.0,0.0,0.0
44000-P128378,"Skills Development and Innovation Support Project The Project Development Objective (PDO) is to improve transparency of resource allocation and promote accountability in higher education, enhance the relevance of secondary technical vocational education, and support innovation capacity in Macedonia.",0.0,0.0,0.0
44000-P149990,North Macedonia Public Sector Energy Efficiency Project The Project Development Objectives are to: (i) reduce energy consumption in the public sector; and (ii) support the development and implementation of a sustainable financing mechanism for energy efficiency in the public sector.,1.0,0.9,0.1
44000-P170267,North Macedonia: Local Roads Connectivity Project The project development objectives are: 1) to improve government capacity to manage local roads and improve access to markets and services; and 2) to provide immediate and effective response to an eligible crisis or emergency.,0.35,0.01,0.33
44000-P180350,Second Social Services Improvement Project,0.0,0.0,0.0
44000-P171973,Primary Education Improvement Project The PDO is to improve conditions for learning in primary education.,0.12,0.06,0.06
44000-P176366,"Building Effective, Transparent and Accountable Public Financial Management Institutions Project To improve the efficiency, transparency and sustainability of public expenditure and increase the effectiveness of revenue administration.",0.05,0.02,0.03
44000-P148023,"National and Regional Roads Rehabilitation The Project Development Objectives are to enhance the connectivity of selected national and regional roads, primarily to Corridors X and VIII, and to improve Public Enterprise for State Roads' capacity for road safety and climate resilience.",0.04,0.0,0.04
44000-P168014,Agriculture Modernization Project Improve competitiveness in targeted agricultural sub-sectors and strengthen agricultural public sector readiness for EU accession.,0.63,0.28,0.36
44000-P149955,"Road Upgrading and Development Project The Project Development Objectives are to improve transport connectivity for road users along Corridor VIII between Skopje and DeveBair, and to improve the asset management and planning functions of Public Enterprise for State Roads.",0.0,0.0,0.0
44000-P103974,"Conditional Cash Transfers Project The project development objectives is to strengthen the effectiveness and efficiency of the Government of Macedonia's (GoM)socialsa fety net through (a) the introduction of conditional cash transfers; and (b) improvements in the administration,oversight,monitorin g, and evaluation of social assistance transfers.   The project would contribute to the GoM's ultimateobjectives ofalleviating curr ent poverty and enhancing human capital, thereby reducing the inter-generational transmission ofpoverty over thelong-run.",0.0,0.0,0.0
44000-P107840,Regional and Local Roads Program Support Project Reduce the cost of safe access to markets and services for communities served by regional and local roads in the Guarantor's territory and improve institutional capacity for investment planning and road safety.,0.0,0.0,0.0
44000-P162246,"Social Services Improvement Project To expand access to and improve the quality of social services, including preschool services, for vulnerable groups.",0.11,0.11,0.0
44000-P111928,Municipal Development The objective of the proposed Municipal Development Project is to improve and maintain municipal service delivery in selected towns of Belize.,0.0,0.0,0.0
44000-P177987,Belize COVID-19 Response Project To support the Government of Belize in the acquisition and deployment of Project COVID-19 vaccines.,0.05,0.0,0.05
44000-P172592,Climate Resilient and Sustainable Agriculture Project The Project Development Objectives are to: (i) increase agricultural productivity and the adoption of climate-smart agricultural approaches among project beneficiaries; and (ii) respond effectively to an Eligible Crisis or Emergency event.,0.96,0.46,0.5
44000-P127338,"Climate Resilient Infrastructure The objectives of the Project are: (a) to enhance the resilience of road infrastructure against flood risk and impacts of climatechange; and (b) to improve the Borrower's capacity to respond promptly and effectively in an Eligible Crisis or Emergency, asrequired.",0.0,0.0,0.0
44000-P155087,Water Supply and Sanitation Development Project The Project Development Objective (PDO) is to increase access to water supply services in selected urban towns and to pilot a ruralwater supply delivery model,0.13,0.01,0.11
44000-P158807,PNG Tourism Sector Development Project The project development objective is to improve tourism services in targeted destinations.,0.01,0.01,0.0
44000-P174347,Papua New Guinea Crisis Response and Sustainable Recovery Development Policy Operation The Program Development Objective is to support the Government of Papua New Guinea in: (i) protecting lives and livelihoods of the population during the COVID-19 crisis; and (ii) laying foundations for a more sustainable recovery over the medium-term.,0.14,0.07,0.07
44000-P174594,"Enhancing Labor Mobility from Papua New Guinea (PNG) The objective of the Project is to strengthen government systems in Papua New Guinea that support workers and their households to benefit from overseas employment opportunities, with a focus on women and disadvantaged groups.",0.04,0.0,0.04
44000-P120707,PNG - Small and Medium Enterprise Access to Finance Project The proposed development objective of this project is to facilitate access to sustainable credit for small and medium enterprises and thus contribute to incremental growth of SME employment and income.,0.0,0.0,0.0
44000-P166420,Urban Youth Employment Project II The development objective is to improve the capacity of participating young men and women in project areas to engage in productive income generating activities.,0.16,0.11,0.05
44000-P167820,Energy Utility Performance and Reliability Improvement Project To improve the operational performance of the Borrower's national electricity utility and improve the reliability of electricity supply in the Project Area.,0.17,0.16,0.0
44000-P107782,PG:  Rural Communications Project The objective of the project is to improve access to telecommunications infrastructure and services in rural and remote areas of PNG.,0.0,0.0,0.0
44000-P167184,Improving Access to and Value from Health Services in PNG: Financing the Frontlines The development objective is to contribute to increasing the utilization of quality essential health services in Project-supported provinces of the Recipient.,0.1,0.01,0.08
44000-P173834,"Papua New Guinea COVID-19 Emergency Response Project To prevent, detect and respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness in Papua New Guinea (PNG).",0.0,0.0,0.0
44000-P101578,"PNG Energy Sector Development Project Project Development objective: 

The project development objectives (PDO) are to (i) strengthen policy development andstrategic framework for renewable energy and rural electrification; and (ii) to attract investors for sustainable development ofnew hydropower generation to supply to the Port Moresby electricity grid.",0.0,0.0,0.0
44000-P159517,"Rural Service Delivery Project The Project Development Objective is to improve communities' access to basic infrastructure and services in targeted rural areas using inclusive, participatory planning and implementation.",0.14,0.14,0.0
44000-P119471,"PNG Road Maintenance and Rehabilitation Project II The project development objectives are to: (i) improve road transport to project areas through providing satisfactory physical condition and safety in selected roads; and (ii) strengthen institutional arrangements for road maintenance, including the participationof the private sector and communities; and (iii) enhance road-related economic opportunities for women.",0.0,0.0,0.0
44000-P174637,Child Nutrition and Social Protection Project The Project Development Objective is to improve utilization of priority nutrition interventions and purchasing power of first thousand-day households in selected districts.,0.12,0.0,0.12
44000-P102396,"PG Second Mining Sector Inst Strengthening TA The project development objective is to improve the benefits from Extractive Industries (EI) to the national budget and to mining affected communities and to mitigate mining's health and safety risks for ASM miners. This will be achieved through improving effectiveness of key EI sector institutions, supporting EI communities to be better able to monitor the delivery of community programs and services, empowering disadvantaged groups including women and youth in extractive industries affected areas, and improving accountability of the sector and for management and use of mining-related revenues. The primary target groups are the institutions involved in the mining sector, the communities in the vicinity of both large-scale and artisanal/small scale mining operations and the recipients and managers of mining benefits streams.",0.0,0.0,0.0
44000-P110959,PNG Productive Partnerships in Agriculture Revised PDO is to improve the livelihoods of smallholder cocoa and coffee producers supported by the project.,0.0,0.0,0.0
44000-P114042,Urban Youth Employment Project The Project's development objectives are to provide urban youth with income from temporary employment opportunities and to increasetheir employability.,0.0,0.0,0.0
44000-P166991,"Papua New Guinea Resilient Transport Project The Project Development Objective is to enhance the resilience and safety of prioritized road infrastructure of the recipient's highway network, and in case of an Eligible Crisis or Emergency, respond promptly and effectively to it.",0.77,0.0,0.77
44000-P079140,"PNG-Smallholder Agriculture Development The development objective of the proposed project is to increase, in a sustainable manner, the level of involvement of targeted communities in their local development through increasing oil palm revenue and local participation.",0.0,0.0,0.0
44000-P116521,Flexible and Open Distance Education Project The objectives of the project are: (i) to align the distance education curriculum with the national curriculum; and (ii) to strengthen FODE's information management system.,0.0,0.0,0.0
44000-P166222,PNG Agriculture Commercialization and Diversification Project To facilitate the development of competitive and diversified agriculture value chains for selected commodities in targeted provinces.,0.36,0.1,0.27
44000-P093384,Mainstreaming Market-Based Instruments for Environmental Management Project The Project Development Objective is to enhance the provision of environmental services of a national and global significance and secure their long-term sustainability through a scaled-up payment for environmental services system in Costa Rica.,0.11,0.11,0.0
44000-P057857,"CR Equity and Efficiency of Education The objectives of the Project are to: (a) reduce education quality gaps in Costa Rica primary and secondary education system in rural areas; and (b) improve the equity and efficiency in the allocation, administration and use of the Borrower#s education sector resources.",0.0,0.0,0.0
44000-P168475,Costa Rica Sustainable Fisheries Development Project The Project Development Objective (PDO) is to improve management of priority fisheries and enhance economic opportunities from those fisheries for Costa Rica.,0.37,0.06,0.32
